State/UT,2014,2015,2016,2017,2018
Andhra Pradesh,7908,8297,8541,8060,7556
Arunachal Pradesh,119,127,149,110,175
Assam,2522,2572,2572,2783,2966
Bihar,4913,5421,5077,5554,6729
Chhattisgarh,4202,4082,3908,4146,4592
Goa,290,311,336,328,262
Gujarat,7955,8119,8136,7829,7996
Haryana,4483,4879,5024,5120,5118
Himachal Pradesh,1199,1096,1271,1203,1208
Jammu & Kashmir,992,917,958,926,984
Jharkhand,2628,2893,3027,3256,3542
Karnataka,10452,10856,11133,10609,10990
Kerala,4049,4196,4287,4131,4303
Madhya Pradesh,8569,9314,9646,10177,10706
Maharashtra,12803,13212,12935,12264,13261
Manipur,168,139,131,136,134
Meghalaya,141,183,150,182,182
Mizoram,103,72,70,65,60
Nagaland,81,30,46,41,41
Odisha,3931,4303,4463,4790,5315
Punjab,4621,4893,5077,4463,4740
Rajasthan,10289,10510,10465,10444,10320
Sikkim,59,70,78,82,85
Tamil Nadu,15190,15642,17218,16157,12216
Telangana,6906,7110,7219,6596,6603
Tripura,188,193,196,213,213
Uttarakhand,878,913,962,992,1047
Uttar Pradesh,16287,17666,19320,20124,22256
West Bengal,5875,6234,6544,5711,5771
Andaman & Nicobar Islands,23,23,17,21,19
Chandigarh,131,129,151,107,98
Dadra & Nagar Haveli,59,42,38,46,46
Daman & Diu,15,42,38,36,35
Delhi,1671,1622,1584,1584,1690
Lakshadweep,0,1,0,1,1
Puducherry,151,235,244,253,226
